"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1777201089382916257","Mon Apr 08 05:05:33 +0000 2024","0","Gaspol! 12 Gift Code Ojol The Game Hari ini 8 April 2024 Redeem Kodenya Sekarang Aktif Lho... https://t.co/WOejCYRiSh","1777201089382916257","","","in","Indonesia","0","0","0","https://x.com/Debysndari10/status/1777201089382916257","1256081575","Debysndari10"
"1785889745144557838","Thu May 02 04:31:10 +0000 2024","1","Ojol The Game jadi Gim Terfavorit RI Maret 2024 2 Juta Pengunduh Dalam Sebulan https://t.co/ubAS4jyROy","1785889745144557838","","","in","Jakarta, Indonesia","0","0","0","https://x.com/Bisniscom/status/1785889745144557838","118646322","Bisniscom"
"1798133519698526223","Tue Jun 04 23:23:33 +0000 2024","0","BOCORAN Kode Redeem Ojol The Game 5 Juni 2024 Valid dan Masih Aktif Klaim Segera Hadiahnya! #ojolthegame https://t.co/SOfISNMukt","1798133519698526223","","","in","Sumedang Selatan Jawa Barat.","0","0","0","https://x.com/Sumedangraya/status/1798133519698526223","1672499805329960960","Sumedangraya"
"1795766400004300852","Wed May 29 10:37:28 +0000 2024","0","Akhirnya kode redeem Ojol The Game terbaru dibagikan oleh CodeXplore selaku pengembang. Seperti biasa di dalamnya telah disisipkan tiga hadiah menggiurkan. https://t.co/WRjs4Zb891","1795766400004300852","","","in","Jakarta, Indonesia","0","0","1","https://x.com/detikinet/status/1795766400004300852","135815019","detikinet"
"1783663769635479701","Fri Apr 26 01:05:56 +0000 2024","0","Update! Gift Code Ojol The Game Resmi CodeXPlore Aktif hari ini 26 April 2024 Yuk Redeem Sekarang https://t.co/wEp3fYnZ09","1783663769635479701","","","in","Indonesia","0","0","0","https://x.com/Debysndari10/status/1783663769635479701","1256081575","Debysndari10"
"1785914422172799294","Thu May 02 06:09:13 +0000 2024","0","Bocoran Kode Redeem Ojol The Game Terbaru 3 Mei 2024 Klaim Gift Code OTG Gratis CodeXplore https://t.co/vC1a8x9I4t lewat @tribunnews","1785914422172799294","","","in","Jl Sungai Raya Dalam Kubu Raya","0","0","0","https://x.com/tribunpontianak/status/1785914422172799294","115936810","tribunpontianak"
"1785510795629256824","Wed May 01 03:25:21 +0000 2024","0","Bocoran Kode Redeem Ojol The Game Terbaru 2 Mei 2024 Gift Code Langsung Klaim dari CodeXplore https://t.co/VKpAS1JL7H lewat @tribunnews","1785510795629256824","","","in","Jl Sungai Raya Dalam Kubu Raya","0","0","0","https://x.com/tribunpontianak/status/1785510795629256824","115936810","tribunpontianak"
"1794964137673662510","Mon May 27 05:29:33 +0000 2024","0","Bocoran Kode Redeem Ojol The Game 28 Mei 2024 Gift Code Terbaru Reward Update CodeXplore https://t.co/6nkPiuonQo lewat @tribunnews","1794964137673662510","","","in","Jl Sungai Raya Dalam Kubu Raya","0","0","0","https://x.com/tribunpontianak/status/1794964137673662510","115936810","tribunpontianak"
"1769574301320057194","Mon Mar 18 03:59:25 +0000 2024","0","5 Code Ojol The Game 18 Maret 2024 Buruan Redeem Kode Terbaru Hari Ini untuk Dapat Gift https://t.co/tVDWohmZtk lewat @tribunnews #ojolthegame","1769574301320057194","","","in","Balikpapan, Indonesia","0","0","0","https://x.com/tribunkaltim/status/1769574301320057194","103551225","tribunkaltim"
"1779095947974480003","Sat Apr 13 10:35:02 +0000 2024","2","Segera Reedem dan Mabar! Ini Dia Gift Code Ojol the Game 13 april 2024 https://t.co/L9B4kPDzXn","1779095947974480003","","","in","Jakarta - Indonesia","0","1","0","https://x.com/mediaindonesia/status/1779095947974480003","68930552","mediaindonesia"
"1774991138258288849","Tue Apr 02 02:43:59 +0000 2024","0","BARU UPDATE LAGI!! Kode Redeem Ojol The Game 2 April 2024 Hingga Bocoran Fitur Hujan dan Mabar #ojolthegame #mabar #koderedeem https://t.co/WSjs1UQSVA","1774991138258288849","","","in","Bandung, Jawa Barat","0","0","0","https://x.com/dickyms___/status/1774991138258288849","151397703","dickyms___"
"1772775843242090897","Wed Mar 27 00:01:12 +0000 2024","0","Kode redeem Ojol The Game terbaru hari ini 27 Maret 2024 sudah rilis. Catat di bagian bawah artikel ini dan simak cara klaimnya https://t.co/3VkfOiz4HM","1772775843242090897","","","in","Madiun","0","0","0","https://x.com/radarmadiunweb/status/1772775843242090897","1404018642","radarmadiunweb"
"1779754034905112849","Mon Apr 15 06:10:02 +0000 2024","0","Ojol The Game merupakan game buatan Indonesia yang mengadopsi ojek online update fitur terbaru dilengkapi dengan mabar (main bersama). https://t.co/soTrucZ3TH","1779754034905112849","","","in","Madiun","0","0","0","https://x.com/radarmadiunweb/status/1779754034905112849","1404018642","radarmadiunweb"
"1769337328739487802","Sun Mar 17 12:17:46 +0000 2024","0","Download Ojol The Game Mod APK 2.1.3 Unlimited Money and Gems Banyak Dicari untuk Uang Tak Terbatas https://t.co/bh5F0wm6BM","1769337328739487802","","","in","Pekanbaru (Hotline 0761-36345)","0","0","0","https://x.com/tribun_PKU/status/1769337328739487802","1340908661418283008","tribun_PKU"
"1788882962077069645","Fri May 10 10:45:08 +0000 2024","33","Aku juga pernah ketemu setan pas nyari penumpang.... Di Ojol The Game","1788882962077069645","","","in","easy easy จอยๆ","1","7","1","https://x.com/Cokepizza3/status/1788882962077069645","884265377844174849","Cokepizza3"
"1796432107629318265","Fri May 31 06:42:45 +0000 2024","0","Bocoran Kode Redeem Ojol The Game 1 Juni 2024 Segera Klaim Gift Code Terbaru dari CodeXplore https://t.co/2aXBsTqNCQ lewat @tribunnews","1796432107629318265","","","in","Jl Sungai Raya Dalam Kubu Raya","0","0","0","https://x.com/tribunpontianak/status/1796432107629318265","115936810","tribunpontianak"
"1786320907918864557","Fri May 03 09:04:27 +0000 2024","0","Bocoran Kode Redeem Ojol The Game Terbaru 4 Mei 2024 Paket Gift Code OTG Gratis CodeXplore https://t.co/LvIZnGtSQc lewat @tribunnews","1786320907918864557","","","in","Jl Sungai Raya Dalam Kubu Raya","0","0","0","https://x.com/tribunpontianak/status/1786320907918864557","115936810","tribunpontianak"
"1789573374240501783","Sun May 12 08:28:35 +0000 2024","0","Bocoran Kode Redeem Ojol The Game Terbaru 13 Mei 2024 Gift Code OTG Gratis dari CodeXplore https://t.co/bL5Iyi2xTN lewat @tribunnews","1789573374240501783","","","in","Jl Sungai Raya Dalam Kubu Raya","0","0","0","https://x.com/tribunpontianak/status/1789573374240501783","115936810","tribunpontianak"
"1775432267370000500","Wed Apr 03 07:56:53 +0000 2024","0","Cara Mabar Ojol The Game Update Versi 2.5.9 dan Gift Code Terbaru 3 April 2024 #ojolthegame #mabar #gifcode #zonauang https://t.co/ipugVJTPoY","1775432267370000500","","","in","Yogyakarta","0","0","0","https://x.com/berita_diy/status/1775432267370000500","1287642738683342848","berita_diy"
"1794971885534629908","Mon May 27 06:00:21 +0000 2024","1","LENGKAP! Kode Redeem Ojol The Game 1 sampai 31 Mei 2024 Cek Gift Code OTG yang Belum Diklaim https://t.co/pA6d6xWcSI lewat @tribunnews","1794971885534629908","","","in","Jl Sungai Raya Dalam Kubu Raya","0","0","0","https://x.com/tribunpontianak/status/1794971885534629908","115936810","tribunpontianak"
"1774952384810143749","Tue Apr 02 00:10:00 +0000 2024","0","Gift Code Ojol The Game Selasa 2 April 2024 TERBARU! Redeem Kode Gratis Dapat Energi Koin dan Uang 50 Ribu #giftcode #kode #redeem #OjoltheGame #ojol #koderedeem https://t.co/MhysREnPog","1774952384810143749","","","in","Yogyakarta","0","0","0","https://x.com/berita_diy/status/1774952384810143749","1287642738683342848","berita_diy"
"1795319648575168852","Tue May 28 05:02:14 +0000 2024","0","Bocoran Kode Redeem Ojol The Game 29 Mei 2024 Lengkap Gift Code OTG Terbaru dari CodeXplore https://t.co/FSAbae3TiO lewat @tribunnews","1795319648575168852","","","in","Jl Sungai Raya Dalam Kubu Raya","0","0","0","https://x.com/tribunpontianak/status/1795319648575168852","115936810","tribunpontianak"
"1796107876596940982","Thu May 30 09:14:22 +0000 2024","0","2M6Y24 Kode Redeem Ojol The Game 31 Mei 2024 Klaim Gift Code Terbaru OTG dari CodeXplore https://t.co/Mdwrentv4l lewat @tribunnews","1796107876596940982","","","in","Jl Sungai Raya Dalam Kubu Raya","0","0","0","https://x.com/tribunpontianak/status/1796107876596940982","115936810","tribunpontianak"
"1769592629422174453","Mon Mar 18 05:12:14 +0000 2024","0","Segera Klaim Gift Code Ojol The Game Hari Ini Senin 18 Maret 2024 https://t.co/BOx36Ywq4n","1769592629422174453","","","in","Pekanbaru (Hotline 0761-36345)","0","0","0","https://x.com/tribun_PKU/status/1769592629422174453","1340908661418283008","tribun_PKU"
